date,material,nowcast_z,direction,tickers
2022-06-01,denim,0.5611,flat,CT=F
2022-06-01,leather,-0.8906,flat,LE=F
2022-06-01,nylon,0.2887,flat,3402.T;CL=F
2022-06-01,polyester,1.9768,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-06-01,technical,,flat,3402.T
2022-06-01,viscose,1.2949,long,LNZ.VI
2022-07-01,cotton,1.5877,long,CT=F
2022-07-01,denim,-0.6258,flat,CT=F
2022-07-01,leather,-1.029,short,LE=F
2022-07-01,nylon,0.2887,flat,3402.T;CL=F
2022-07-01,polyester,0.7817,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-07-01,technical,,flat,3402.T
2022-07-01,viscose,1.2949,long,LNZ.VI
2022-08-01,cotton,1.3456,long,CT=F
2022-08-01,denim,-0.8824,flat,CT=F
2022-08-01,leather,-1.0602,short,LE=F
2022-08-01,nylon,,flat,3402.T;CL=F
2022-08-01,polyester,-0.2196,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-08-01,technical,,flat,3402.T
2022-08-01,viscose,1.2949,long,LNZ.VI
2022-09-01,cotton,0.4282,flat,CT=F
2022-09-01,denim,0.3781,flat,CT=F
